respondent_id,Q1_age_group,Q2_city_tier,Q3_residence_type,Q4_num_dogs,Q5_dog_type,Q6_ownership_duration,Q7_monthly_spend_inr,Q7_spend_range,Q8_top_spend_category,Q9_online_purchase_freq,Q10_challenges,Q11_vet_discovery,Q12_lost_dog_experience,Q13_pet_space_satisfaction,Q14_preferred_features,Q15_app_usage,Q16_purchase_platform,Q17_location_sharing,Q18_subscription_pref,Q19_adoption_interest,Q20_community_importance,Q21_social_media_dogs,Q22_reviews_importance,Q23_vax_tracking,Q24_emergency_vet_freq,Q25_app_adoption
R0021,35-44,Rural,Gated apartment,1 dog,Adopted from shelter,5+ years,,nan,Grooming,Very frequently,Genuine food/accessories hard to find|Travel challenges with dog|Lack of grooming services|Hard ,Social media,No,Very Dissatisfied,Health/vaccination tracker|Pet-friendly places|Dog trainer directory,Often,Heads Up For Tails/Supertails,Unsure,Annual sub,Maybe someday,Very Important,Not yet but would,Extremely Important,Physical diary,Never,Maybe
R0022,18-24,Tier-2,Gated apartment,2 dogs,Rescued stray|Purebred,3-5 years,,nan,Grooming,Occasionally,Cannot find dog trainer|Hard to find boarding/walker|Losing track of vaccinations,Google Maps,"Yes, very difficult",Very Dissatisfied,Grooming listings|Health/vaccination tracker|Pet-friendly places,Often,Brand website,Yes when using app,,Yes actively,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R0023,25-34,Rural,Non-gated apartment,2 dogs,Rescued stray,3-5 years,3278.0,2500-5000,Online marketplace,Occasionally,No pet-friendly spaces,No reliable way,"Yes, very difficult",Dissatisfied,Nearby vet directory|Boarding/walking listings,Often,Local pet store,Yes always,One-time purchase,Maybe someday,Neutral,Passive,,Physical diary,2-3 times a year,Yes
R0024,25-34,Metro,Rented,None,nan,<1 year,,nan,nan,Very frequently,Hard to find reliable vet|Difficulty adopting/fostering,Google Maps,Not applicable,Neutral,Community/playdates|Lost-and-found alerts,Never,Amazon/Flipkart,,Would not pay,Yes actively,Somewhat Important,Active,Very Important,Dedicated pet app,Never,Maybe
R0025,25-34,Metro,Non-gated apartment,None,Purebred,Planning to adopt,,nan,nan,Rarely,Losing track of vaccinations|No local dog owner community|Hard to find reliable vet,Word of mouth,No,Neutral,Online marketplace|Nearby vet directory,Sometimes,Amazon/Flipkart,Unsure,Monthly sub,No,Neutral,Passive,Very Important,Don't track,Never,Yes
R0026,45-59,Metro,Rented,1 dog,Adopted from shelter|Purebred,5+ years,4825.0,2500-5000,Boarding/walking,Frequently,Hard to find reliable vet|No local dog owner community,No reliable way,"Yes, very difficult",,Pet-friendly places|Online marketplace,Never,Amazon/Flipkart,Unsure,Free with ads,Maybe someday,Neutral,Passive,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R0027,18-24,Tier-2,Gated apartment,2 dogs,Rescued stray|Mixed breed,5+ years,8403.0,5000-10000,Accessories,Occasionally,Hard to find reliable vet|Cannot find dog trainer,Word of mouth,No,Neutral,Adoption/fostering network,Sometimes,Don't buy online,Yes always,Annual sub,No,Very Important,Not interested,Very Important,Rely on memory,Once a year or less,Yes
R0028,25-34,Rural,Independent house,1 dog,Mixed breed,3-5 years,3848.0,2500-5000,Vet & medicines,Rarely,Hard to find reliable vet,No reliable way,"Yes, managed eventually",,Lost-and-found alerts,Rarely,Amazon/Flipkart,No,Freemium,Maybe someday,Neutral,Passive,Somewhat Important,Spreadsheet/notes app,Once a year or less,Yes
R0029,35-44,Metro,Non-gated apartment,2 dogs,Adopted from shelter|Purebred,3-5 years,11329.0,>10000,Accessories,Never,Hard to find reliable vet|Travel challenges with dog,Google Maps,No,Dissatisfied,Online marketplace|Nearby vet directory,Often,Local pet store,Yes when using app,Annual sub,Yes considering,Neutral,Not interested,Extremely Important,Rely on memory,2-3 times a year,Yes
R0030,18-24,Tier-2,Gated apartment,None,nan,,155.0,<1000,nan,Occasionally,Hard to find boarding/walker,Word of mouth,"Yes, managed eventually",Dissatisfied,Lost-and-found alerts,,Local pet store,,Free with ads,Yes considering,Very Important,Active,Not Important,Don't track,Never,Yes
R0031,35-44,Metro,Non-gated apartment,1 dog,Rescued stray,1-3 years,4164.0,2500-5000,Accessories,Occasionally,Lack of grooming services|Losing track of vaccinations|Genuine food/accessories hard to find,Pet app,"Yes, managed eventually",Dissatisfied,Pet-friendly places|Boarding/walking listings|Adoption/fostering network,Sometimes,Amazon/Flipkart,Yes always,Monthly sub,Yes considering,Neutral,Not interested,Somewhat Important,Spreadsheet/notes app,Once a year or less,Yes
R0032,18-24,Tier-2,Gated apartment,1 dog,Indian Pariah|Mixed breed,<1 year,3482.0,2500-5000,Food & treats,Rarely,Hard to find boarding/walker|Genuine food/accessories hard to find,,"Yes, very difficult",Satisfied,Pet-friendly places|Dog trainer directory,Often,Local pet store,Yes when using app,Freemium,No,Neutral,Passive,,Rely on memory,Never,
R0033,18-24,Tier-2,Independent house,2 dogs,Purebred,5+ years,7565.0,5000-10000,Accessories,Occasionally,Travel challenges with dog|Hard to find boarding/walker|Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Dissatisfied,Community/playdates|Nearby vet directory,Often,Amazon/Flipkart,Yes when using app,Monthly sub,Yes considering,Very Important,Active,Very Important,Dedicated pet app,Once a year or less,Yes
R0034,60+,Rural,Other,1 dog,Rescued stray,5+ years,4538.0,2500-5000,Vet & medicines,Occasionally,Hard to find reliable vet|Travel challenges with dog,Google Maps,"Yes, very difficult",Dissatisfied,Nearby vet directory,Rarely,Heads Up For Tails/Supertails,Unsure,Annual sub,Yes considering,Somewhat Important,Active,Extremely Important,Rely on memory,Once a year or less,Maybe
R0035,60+,Tier-2,Independent house,1 dog,Indian Pariah|Mixed breed,5+ years,4048.0,2500-5000,Food & treats,Frequently,No pet-friendly spaces|Difficulty adopting/fostering|Lack of grooming services|Hard to find boar,Social media,"Yes, very difficult",Very Dissatisfied,Community/playdates|Online marketplace|Pet-friendly places,Sometimes,Amazon/Flipkart,Unsure,Freemium,Maybe someday,Not at all,Passive,Extremely Important,,Never,Yes
R0036,45-59,Metro,,1 dog,Rescued stray|Adopted from shelter,<1 year,4768.0,2500-5000,Training,Never,Losing track of vaccinations,,"Yes, very difficult",Very Satisfied,Pet-friendly places,Rarely,Instagram/social,Yes always,Freemium,Yes actively,Very Important,Not yet but would,Very Important,Rely on memory,2-3 times a year,Maybe
R0037,25-34,Metro,Other,2 dogs,Purebred,1-3 years,5870.0,5000-10000,Vet & medicines,Frequently,Lack of grooming services,Google Maps,No,Dissatisfied,Adoption/fostering network,Often,Don't buy online,Unsure,Freemium,Yes considering,Somewhat Important,Not yet but would,Very Important,Rely on memory,2-3 times a year,Yes
R0038,18-24,Metro,Rented,2 dogs,Mixed breed|Indian Pariah,1-3 years,3921.0,2500-5000,Grooming,Never,Hard to find reliable vet|Difficulty adopting/fostering|Genuine food/accessories hard to find,Social media,No,Satisfied,Health/vaccination tracker,Often,Amazon/Flipkart,Yes when using app,Monthly sub,Yes considering,Neutral,Passive,Somewhat Important,,Never,Maybe
R0039,35-44,Metro,Non-gated apartment,1 dog,Adopted from shelter|Mixed breed,5+ years,2982.0,2500-5000,Food & treats,Never,No pet-friendly spaces|Lack of grooming services,Word of mouth,"Yes, very difficult",Satisfied,Health/vaccination tracker,Sometimes,Local pet store,Yes when using app,Monthly sub,Yes considering,Not at all,Passive,Not Important,Physical diary,2-3 times a year,Yes
R0040,25-34,Metro,Non-gated apartment,2 dogs,Rescued stray|Adopted from shelter,,5131.0,5000-10000,Accessories,Rarely,No pet-friendly spaces|Losing track of vaccinations,Google Maps,No,Satisfied,Online marketplace|Lost-and-found alerts,Sometimes,Local pet store,,Freemium,Yes considering,Somewhat Important,Not interested,Not Important,Don't track,Once a year or less,Yes
R0041,18-24,tier-3,Rented,1 dog,Rescued stray|Purebred,3-5 years,2296.0,1000-2500,Vet & medicines,Frequently,Losing track of vaccinations,No reliable way,No,Neutral,Health/vaccination tracker,Sometimes,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Not Important,Passive,Extremely Important,Rely on memory,Never,Yes
R0042,25-34,Tier-2,Gated apartment,1 dog,Mixed breed|Rescued stray,<1 year,4833.0,2500-5000,Vet & medicines,Never,Travel challenges with dog|No pet-friendly spaces,No reliable way,"Yes, very difficult",Very Dissatisfied,Event calendar,Never,Local pet store,Yes when using app,Monthly sub,Yes considering,Somewhat Important,Passive,Very Important,Dedicated pet app,2-3 times a year,No
R0043,18-24,Tier-2,Gated apartment,1 dog,Adopted from shelter,3-5 years,3866.0,2500-5000,Vet & medicines,Never,Lack of grooming services,Word of mouth,"Yes, very difficult",Very Dissatisfied,Grooming listings,Rarely,Amazon/Flipkart,Unsure,Freemium,Maybe someday,Somewhat Important,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Yes
R0044,45-59,Metro,,1 dog,Rescued stray,3-5 years,3991.0,  2500-5000  ,Grooming,Never,Lack of grooming services,Social media,No,Neutral,Nearby vet directory|Health/vaccination tracker|Lost-and-found alerts,Never,Amazon/Flipkart,Yes always,Would not pay,Maybe someday,Not at all,Not yet but would,Very Important,Rely on memory,Once a year or less,Yes
R0045,25-34,Tier-3,Gated apartment,2 dogs,Indian Pariah,1-3 years,5552.0,5000-10000,,Very frequently,Genuine food/accessories hard to find,Social media,"Yes, managed eventually",Dissatisfied,Online marketplace|Nearby vet directory,Rarely,Brand website,Unsure,Monthly sub,Maybe someday,Not Important,Active,Not Important,Physical diary,Never,No
R0046,35-44,Tier-2,Gated apartment,2 dogs,Adopted from shelter|Mixed breed,5+ years,5818.0,  5000-10000  ,Food & treats,Very frequently,Difficulty adopting/fostering|Lack of grooming services,Pet app,No,Neutral,Nearby vet directory,Rarely,Heads Up For Tails/Supertails,No,Monthly sub,Maybe someday,Somewhat Important,Passive,Very Important,Don't track,More than 3 times,Yes
R0047,25-34,Metro,Gated apartment,None,Purebred,Planning to adopt,1740.0,1000-2500,nan,Never,Difficulty adopting/fostering|No pet-friendly spaces,Word of mouth,No,Dissatisfied,Pet-friendly places|Online marketplace|Adoption/fostering network,Often,Amazon/Flipkart,Yes when using app,Free with ads,Yes considering,Very Important,Not interested,Very Important,Physical diary,Never,Yes
R0048,25-34,Tier-2,Non-gated apartment,1 dog,Mixed breed,5+ years,4231.0,2500-5000,Vet & medicines,Rarely,Hard to find boarding/walker|Cannot find dog trainer|No pet-friendly spaces,Word of mouth,"Yes, very difficult",,Boarding/walking listings|Event calendar|Adoption/fostering network,Sometimes,Heads Up For Tails/Supertails,No,Monthly sub,No,Very Important,Not yet but would,Very Important,Rely on memory,More than 3 times,Maybe
R0049,25-34,Tier-2,Rented,2 dogs,Rescued stray|Adopted from shelter,5+ years,3867.0,2500-5000,,Very frequently,Hard to find reliable vet|Travel challenges with dog|Lack of grooming services,Word of mouth,No,Satisfied,Lost-and-found alerts|Dog trainer directory,Often,Heads Up For Tails/Supertails,Yes when using app,Free with ads,No,Somewhat Important,Passive,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R0050,18-24,Metro,Gated apartment,3+ dogs,Rescued stray,3-5 years,4399.0,2500-5000,Grooming,Never,No pet-friendly spaces,Google Maps,"Yes, managed eventually",Satisfied,Lost-and-found alerts,Sometimes,Local pet store,,Freemium,Maybe someday,Somewhat Important,Active,Extremely Important,Spreadsheet/notes app,Once a year or less,Yes
R0051,60+,Tier-2,Rented,1 dog,Indian Pariah,1-3 years,4385.0,2500-5000,Vet & medicines,Never,Genuine food/accessories hard to find|Losing track of vaccinations|Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Very Dissatisfied,Lost-and-found alerts,Sometimes,Instagram/social,Yes when using app,Freemium,Maybe someday,Somewhat Important,Not interested,Somewhat Important,Rely on memory,2-3 times a year,No
R0052,35-44,Tier-2,,3+ dogs,Mixed breed|Purebred,1-3 years,7163.0,5000-10000,Food & treats,Never,No pet-friendly spaces|Losing track of vaccinations|Hard to find reliable vet,Social media,No,Satisfied,Nearby vet directory|Health/vaccination tracker,Often,Heads Up For Tails/Supertails,Yes always,Freemium,No,Somewhat Important,Not yet but would,Somewhat Important,Don't track,2-3 times a year,Yes
R0053,60+,Metro,Rented,1 dog,Purebred|Adopted from shelter,5+ years,,nan,Vet & medicines,Very frequently,Losing track of vaccinations,Word of mouth,No,Dissatisfied,Community/playdates|Health/vaccination tracker|Pet-friendly places,Often,Amazon/Flipkart,Unsure,Annual sub,Maybe someday,Not at all,Not yet but would,Very Important,Physical diary,2-3 times a year,Yes
R0054,45-59,Rural,Non-gated apartment,1 dog,Adopted from shelter|Rescued stray,1-3 years,3259.0,2500-5000,Accessories,Frequently,No pet-friendly spaces|Lack of grooming services|Hard to find reliable vet,Social media,"Yes, managed eventually",Satisfied,Dog trainer directory|Adoption/fostering network|Community/playdates,,Local pet store,Yes when using app,Free with ads,Maybe someday,Very Important,Passive,Extremely Important,Don't track,Once a year or less,Yes
R0055,35-44,Tier-3,Rented,2 dogs,Indian Pariah,5+ years,5314.0,  5000-10000  ,Food & treats,Rarely,Lack of grooming services|Travel challenges with dog|Hard to find reliable vet,Word of mouth,"Yes, very difficult",Very Dissatisfied,Nearby vet directory|Health/vaccination tracker,Sometimes,Instagram/social,Yes when using app,Free with ads,Maybe someday,Somewhat Important,Not interested,Not Important,Spreadsheet/notes app,Never,Yes
R0056,60+,Tier-2,Independent house,1 dog,Mixed breed,5+ years,3740.0,2500-5000,Grooming,Never,Hard to find reliable vet|Travel challenges with dog,Google Maps,No,Neutral,Online marketplace|Lost-and-found alerts|Adoption/fostering network,Sometimes,Amazon/Flipkart,Unsure,Free with ads,Yes actively,Very Important,Passive,,Physical diary,More than 3 times,Maybe
R0057,18-24,Tier-2,Rented,1 dog,Purebred,5+ years,5067.0,5000-10000,Food & treats,Very frequently,Travel challenges with dog,Google Maps,Not applicable,Very Satisfied,Community/playdates|Event calendar,Sometimes,Local pet store,Yes when using app,Annual sub,Maybe someday,,Passive,Extremely Important,Dedicated pet app,Never,No
R0058,18-24,Metro,,1 dog,Purebred|Indian Pariah,3-5 years,3941.0,2500-5000,,Occasionally,Losing track of vaccinations|Hard to find reliable vet|Cannot find dog trainer,Google Maps,Not applicable,Dissatisfied,Dog trainer directory|Online marketplace|Dog-friendly travel guide,Often,Local pet store,Yes when using app,Free with ads,Yes considering,Very Important,Not interested,Extremely Important,Physical diary,Never,Maybe
R0059,18-24,Tier-2,Rented,2 dogs,Purebred|Mixed breed,5+ years,5352.0,5000-10000,Food & treats,Occasionally,Hard to find boarding/walker|No pet-friendly spaces,Google Maps,"Yes, managed eventually",Very Dissatisfied,Boarding/walking listings,,Brand website,Unsure,Would not pay,Yes actively,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,2-3 times a year,Maybe
R0060,25-34,tier-2,Other,2 dogs,Adopted from shelter|Indian Pariah,5+ years,8463.0,5000-10000,Training,Rarely,Difficulty adopting/fostering|Travel challenges with dog,Google Maps,"Yes, very difficult",,Lost-and-found alerts,Never,Heads Up For Tails/Supertails,Yes when using app,Would not pay,No,Not Important,Not interested,Very Important,Rely on memory,Never,Yes
R0061,25-34,Metro,Gated apartment,1 dog,Indian Pariah,3-5 years,3407.0,2500-5000,Training,Frequently,Genuine food/accessories hard to find|Travel challenges with dog|Losing track of vaccinations,Word of mouth,Not applicable,Dissatisfied,Event calendar|Lost-and-found alerts|Health/vaccination tracker,Never,Brand website,No,Would not pay,Yes considering,Not at all,Not yet but would,Very Important,Spreadsheet/notes app,Once a year or less,Maybe
R0062,25-34,Tier-2,Gated apartment,1 dog,Adopted from shelter|Purebred,1-3 years,1013.0,1000-2500,,Rarely,No pet-friendly spaces|Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Satisfied,Pet-friendly places|Lost-and-found alerts|Dog-friendly travel guide,Often,Local pet store,Yes when using app,Would not pay,Maybe someday,Very Important,Active,Very Important,Spreadsheet/notes app,Never,Yes
R0063,45-59,Tier-3,Non-gated apartment,1 dog,Mixed breed,1-3 years,3646.0,2500-5000,Vet & medicines,Frequently,Genuine food/accessories hard to find,Google Maps,"Yes, very difficult",Satisfied,Health/vaccination tracker|Grooming listings,Rarely,Amazon/Flipkart,Yes always,Free with ads,Yes considering,Not at all,Active,Very Important,Physical diary,Never,Maybe
R0064,25-34,Tier-2,Gated apartment,1 dog,Purebred|Indian Pariah,,5561.0,5000-10000,Food & treats,Rarely,Hard to find reliable vet,,No,Very Dissatisfied,Pet-friendly places,Rarely,Amazon/Flipkart,Yes always,Monthly sub,Yes actively,Somewhat Important,Passive,Very Important,,2-3 times a year,No
R0065,25-34,metro,Rented,1 dog,Indian Pariah,5+ years,4659.0,2500-5000,,Never,No local dog owner community,Word of mouth,"Yes, very difficult",Very Dissatisfied,Lost-and-found alerts|Adoption/fostering network|Pet-friendly places,Rarely,Local pet store,No,Freemium,Maybe someday,Neutral,Not interested,Not Important,Don't track,Once a year or less,Maybe
R0066,25-34,Tier-3,Independent house,2 dogs,Indian Pariah,3-5 years,4352.0,2500-5000,Grooming,Occasionally,Hard to find reliable vet|Difficulty adopting/fostering|Losing track of vaccinations,,"Yes, managed eventually",Dissatisfied,Nearby vet directory,Rarely,Local pet store,Yes when using app,Annual sub,Maybe someday,Very Important,Not yet but would,Somewhat Important,Physical diary,Never,No
R0067,18-24,Metro,Independent house,1 dog,Indian Pariah,5+ years,4477.0,2500-5000,Food & treats,Frequently,No local dog owner community|Genuine food/accessories hard to find|Difficulty adopting/fostering,Social media,"Yes, managed eventually",Dissatisfied,Nearby vet directory,Never,Amazon/Flipkart,No,Freemium,Maybe someday,Somewhat Important,Not yet but would,Somewhat Important,Spreadsheet/notes app,Once a year or less,Maybe
R0068,45-59,Metro,,1 dog,Rescued stray,5+ years,3368.0,2500-5000,Food & treats,Occasionally,Lack of grooming services|No local dog owner community,Google Maps,Not applicable,Dissatisfied,Adoption/fostering network|Dog trainer directory,Often,Brand website,Yes always,Freemium,No,Somewhat Important,Not yet but would,Extremely Important,Rely on memory,2-3 times a year,Yes
R0069,18-24,Metro,Non-gated apartment,None,Mixed breed,Planning to adopt,148.0,<1000,nan,Never,Difficulty adopting/fostering,,No,Dissatisfied,Dog-friendly travel guide|Health/vaccination tracker|Grooming listings,Rarely,Brand website,Yes when using app,One-time purchase,No,Somewhat Important,Active,,Don't track,Once a year or less,No
R0070,60+,Metro,Rented,1 dog,Rescued stray,3-5 years,4689.0,2500-5000,Grooming,Occasionally,Losing track of vaccinations|Lack of grooming services,Word of mouth,No,Dissatisfied,Health/vaccination tracker|Adoption/fostering network|Lost-and-found alerts,Often,Brand website,Yes always,Freemium,No,Very Important,Active,Extremely Important,Rely on memory,Once a year or less,
R0071,35-44,Tier-3,Gated apartment,3+ dogs,Rescued stray|Adopted from shelter,<1 year,-7486.0,5000-10000,Food & treats,Frequently,No local dog owner community,Google Maps,No,,Adoption/fostering network|Pet-friendly places,Often,Instagram/social,No,Annual sub,Maybe someday,,Active,Extremely Important,Physical diary,Never,Yes
R0072,18-24,Tier-2,Non-gated apartment,1 dog,Adopted from shelter|Rescued stray,5+ years,3403.0,2500-5000,Vet & medicines,Frequently,Hard to find reliable vet,Google Maps,No,Satisfied,Grooming listings|Online marketplace,Sometimes,Heads Up For Tails/Supertails,,Monthly sub,Yes actively,Neutral,Not interested,Extremely Important,Physical diary,Once a year or less,Maybe
